2014-02-05,LZ2,5.99,,,,,,,,,,,,,,,
2014-03-11,LZ2,12.5,,,,,,,,,,,,,,,
2014-04-15,LZ2,25.3,,,,,,,,,,,,,,,
2014-05-14,LZ2,65.9,,,,,,,,,,,,,,,
2014-06-04,LZ2,22.7,,,,,,,,,,,,,,,
2014-07-15,LZ2,29.6,,,,,,,,,,,,,,,
2014-08-05,LZ2,38.1,,,,,,,,,,,,,,,
2014-09-02,LZ2,44.3,,,,,,,,,,,,,,,
2014-10-07,LZ2,11.0,,,,,,,,,,,,,,,
2014-11-04,LZ2,3.37,,,,,,,,,,,,,,,
2014-12-02,LZ2,4.67,,,,,,,,,,,,,,,
2015-01-06,LZ2,2.54,,,,,,,,,,,,,,,
2015-02-03,LZ2,6.19,,,,,,,,,,,,,,,
2015-03-03,LZ2,4.22,,,,,,,,,,,,,,,
2015-04-07,LZ2,8.77,,,,,,,,,,,,,,,
2015-05-12,LZ2,117.0,,,,,,,,,,,,,,,
2015-06-03,LZ2,34.3,,,,,,,,,,,,,,,
2015-07-08,LZ2,26.7,,,,,,,,,,,,,,,
2015-08-05,LZ2,14.6,,,,,,,,,,,,,,,
2015-09-01,LZ2,21.5,,,,,,,,,,,,,,,
2015-10-06,LZ2,19.8,,,,,,,,,,,,,,,
2015-11-04,LZ2,20.3,,,,,,,,,,,,,,,
2015-12-01,LZ2,25.9,,,,,,,,,,,,,,,
2016-01-11,LZ2,8.26,,,,,,,,,,,,,,,
2016-02-02,LZ2,19.6,,,,,,,,,,,,,,,
2016-03-01,LZ2,13.6,,,,,,,,,,,,,,,
2016-04-05,LZ2,11.4,,,,,,,,,,,,,,,
2016-05-03,LZ2,23.5,,,,,,,,,,,,,,,
2016-06-14,LZ2,38.8,,,,,,,,,,,,,,,
2016-07-11,LZ2,39.0,,,,,,,,,,,,,,,
2016-08-02,LZ2,59.6,,,,,,,,,,,,,,,
2016-09-06,LZ2,32.3,,,,,,,,,,,,,,,
2016-10-18,LZ2,16.7,,,,,,,,,,,,,,,
2016-11-01,LZ2,20.3,,,,,,,,,,,,,,,
2016-12-07,LZ2,15.7,,,,,,,,,,,,,,,
2017-01-09,LZ2,14.0,,,,,,,,,,,,,,,
2017-02-07,LZ2,20.3,,,,,,,,,,,,,,,
2017-03-22,LZ2,23.6,,,,,,,,,,,,,,,
2017-04-17,LZ2,20.9,,,,,,,,,,,,,,,
2017-05-23,LZ2,59.9,,,,,,,,,,,,,,,
2017-07-10,LZ2,44.2,,,,,,,,,,,,,,,
2017-08-14,LZ2,44.4,,,,,,,,,,,,,,,
2017-09-18,LZ2,18.9,,,,,,,,,,,,,,,
2017-10-10,LZ2,15.9,,,,,,,,,,,,,,,
2017-11-07,LZ2,7.83,,,,,,,,,,,,,,,
2017-12-05,LZ2,6.42,,,,,,,,,,,,,,,
2018-01-17,LZ2,5.26,,,,,,,,,,,,,,,
2018-02-06,LZ2,8.01,,,,,,,,,,,,,,,
2018-03-06,LZ2,12.2,,,,,,,,,,,,,,,
2018-04-03,LZ2,19.0,,,,,,,,,,,,,,,
2018-05-01,LZ2,21.5,,,,,,,,,,,,,,,
2018-06-05,LZ2,23.8,,,,,,,,,,,,,,,
2018-07-17,LZ2,65.7,,,,,,,,,,,,,,,
2018-08-14,LZ2,35.8,,,,,,,,,,,,,,,
2018-09-04,LZ2,32.4,,,,,,,,,,,,,,,
2018-10-16,LZ2,24.4,,,,,,,,,,,,,,,
2018-11-06,LZ2,37.3,,,,,,,,,,,,,,,
2018-12-04,LZ2,21.1,,,,,,,,,,,,,,,
2019-01-08,LZ2,13.9,,,,,,,,,,,,,,,
2019-02-12,LZ2,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-12,LZ2,20.6,0.0058760009706020355,0.0030140008311718702,0.0042760008946061134,0.004738000687211752,0.004710000939667225,0.005516001023352146,0.0056760008446872234,0.006034000776708126,0.006110000889748335,0.006096000783145428,0.005514001008123159,0.0045480006374418736,0.0023460008669644594,-0.004709999077022076,-0.00024199912149924785
2019-04-02,LZ2,33.1,,,,,,,,,,,,,,,
2019-05-08,LZ2,54.5,,,,,,,,,,,,,,,
2019-06-05,LZ2,30.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-09,LZ2,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-06,LZ2,26.2,,,,,,,,,,,,,,,
2019-09-09,LZ2,30.5,0.009254001080989838,0.006852000951766968,0.006522000767290592,0.005942001007497311,0.005946001037955284,0.007138000801205635,0.005464000627398491,0.004806000739336014,0.004448000807315111,0.0044680009596049786,0.004096000920981169,0.0028600008226931095,0.0014020008966326714,-0.0021059990394860506,0.002020000945776701
2019-10-01,LZ2,17.2,,,,,,,,,,,,,,,
2019-11-05,LZ2,26.0,,,,,,,,,,,,,,,
2019-12-03,LZ2,11.6,-0.00042599914013408124,-0.002463999204337597,-0.0006659991340711713,0.0008580008870922029,0.0012100008316338062,0.002686000894755125,0.0030180008616298437,0.00364800076931715,0.0036100009456276894,0.0036320008803159,0.005014000926166773,0.0035920008085668087,0.0018980008317157626,-0.0020359992049634457,-0.000591999152675271
2020-01-14,LZ2,9.19,0.005334001034498215,0.0030720008071511984,0.003882000921294093,0.003676000749692321,0.003496000776067376,0.004002000670880079,0.0039640008471906185,0.0038980008102953434,0.0038520009256899357,0.003978000953793526,0.0031900007743388414,0.0024220009800046682,0.0011920008109882474,-0.0027139990124851465,0.001076000859029591
2020-02-04,LZ2,15.3,,,,,,,,,,,,,,,
2020-02-12,LZ2,28.9,,,,,,,,,,,,,,,
2020-03-10,LZ2,12.1,,,,,,,,,,,,,,,
2020-04-07,LZ2,21.0,,,,,,,,,,,,,,,
2020-05-05,LZ2,38.3,0.006106000859290361,0.00388400093652308,0.004500000737607479,0.004844001028686762,0.004738000687211752,0.006212000735104084,0.005730000790208578,0.005480000749230385,0.005318000912666321,0.005250000860542059,0.004688000772148371,0.0028500009793788195,0.0013920008204877377,-0.002487999154254794,0.00044800087925978005
2020-05-20,LZ2,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,LZ2,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-23,LZ2,85.1,,,,,,,,,,,,,,,
2013-02-06,S133,20.7,,,,,,,,,,,,,,,
2013-02-06,S133,22.9,,,,,,,,,,,,,,,
2017-03-14,S133,0.062,,,,,,,,,,,,,,,
2019-02-25,S133,0.032,,,,,,,,,,,,,,,
2010-11-03,FEBIN,2.7,,,,,,,,,,,,,,,
2011-11-15,FEBIN,13.0,,,,,,,,,,,,,,,
2011-11-15,FEBIN,12.1,,,,,,,,,,,,,,,
2011-11-15,FEBIN,5.88,,,,,,,,,,,,,,,
2011-12-27,FEBIN,7.02,,,,,,,,,,,,,,,
2012-01-03,FEBIN,11.2,,,,,,,,,,,,,,,
2012-02-06,FEBIN,35.8,,,,,,,,,,,,,,,
2012-09-04,FEBIN,8.86,,,,,,,,,,,,,,,
2012-10-01,FEBIN,6.05,,,,,,,,,,,,,,,
2012-10-31,FEBIN,6.14,,,,,,,,,,,,,,,
2012-12-03,FEBIN,11.8,,,,,,,,,,,,,,,
2013-01-14,FEBIN,13.5,,,,,,,,,,,,,,,
2013-02-27,FEBIN,21.3,,,,,,,,,,,,,,,
2013-03-20,FEBIN,24.4,,,,,,,,,,,,,,,
2013-04-01,FEBIN,15.0,,,,,,,,,,,,,,,
2013-05-06,FEBIN,15.8,,,,,,,,,,,,,,,
2013-06-03,FEBIN,4.18,,,,,,,,,,,,,,,
2013-07-01,FEBIN,12.4,,,,,,,,,,,,,,,
2013-08-05,FEBIN,0.6990000000000001,,,,,,,,,,,,,,,
2013-09-03,FEBIN,7.64,,,,,,,,,,,,,,,
2013-10-07,FEBIN,12.0,,,,,,,,,,,,,,,
2013-11-05,FEBIN,6.17,,,,,,,,,,,,,,,
2013-12-02,FEBIN,6.96,,,,,,,,,,,,,,,
2014-01-06,FEBIN,12.4,,,,,,,,,,,,,,,
2014-02-03,FEBIN,28.4,,,,,,,,,,,,,,,
2014-03-03,FEBIN,39.4,,,,,,,,,,,,,,,
2014-04-07,FEBIN,13.4,,,,,,,,,,,,,,,
2014-05-05,FEBIN,11.0,,,,,,,,,,,,,,,
2014-05-05,FEBIN,9.79,,,,,,,,,,,,,,,
2014-05-05,FEBIN,10.0,,,,,,,,,,,,,,,
2014-07-21,FEBIN,6.37,,,,,,,,,,,,,,,
2014-08-04,FEBIN,4.77,,,,,,,,,,,,,,,
2014-09-02,FEBIN,2.81,,,,,,,,,,,,,,,
2014-10-06,FEBIN,1.67,,,,,,,,,,,,,,,
2014-11-17,FEBIN,3.21,,,,,,,,,,,,,,,
2014-12-01,FEBIN,4.37,,,,,,,,,,,,,,,
2015-01-15,FEBIN,8.87,,,,,,,,,,,,,,,
2015-02-02,FEBIN,18.9,,,,,,,,,,,,,,,
2015-03-02,FEBIN,52.4,,,,,,,,,,,,,,,
2015-04-06,FEBIN,17.7,,,,,,,,,,,,,,,
2015-05-18,FEBIN,11.1,,,,,,,,,,,,,,,
2015-09-08,FEBIN,2.21,,,,,,,,,,,,,,,
2015-10-05,FEBIN,1.43,,,,,,,,,,,,,,,
2015-11-16,FEBIN,5.3,,,,,,,,,,,,,,,
2015-12-07,FEBIN,1.78,,,,,,,,,,,,,,,
2016-01-04,FEBIN,3.04,,,,,,,,,,,,,,,
2016-02-01,FEBIN,0.978,,,,,,,,,,,,,,,
2016-03-07,FEBIN,6.49,,,,,,,,,,,,,,,
2016-04-04,FEBIN,17.5,,,,,,,,,,,,,,,
2016-04-04,FEBIN,18.0,,,,,,,,,,,,,,,
2016-04-04,FEBIN,19.0,,,,,,,,,,,,,,,
2016-05-02,FEBIN,30.7,,,,,,,,,,,,,,,
2016-06-06,FEBIN,12.4,,,,,,,,,,,,,,,
2016-07-05,FEBIN,13.5,,,,,,,,,,,,,,,
2016-08-01,FEBIN,18.5,,,,,,,,,,,,,,,
2016-09-07,FEBIN,3.16,,,,,,,,,,,,,,,
2016-10-03,FEBIN,3.13,,,,,,,,,,,,,,,
2016-11-21,FEBIN,9.12,,,,,,,,,,,,,,,
2016-12-05,FEBIN,4.84,,,,,,,,,,,,,,,
2017-08-07,FEBIN,13.2,,,,,,,,,,,,,,,
2017-09-18,FEBIN,3.27,,,,,,,,,,,,,,,
2017-11-06,FEBIN,12.1,,,,,,,,,,,,,,,
2017-12-18,FEBIN,12.6,,,,,,,,,,,,,,,
2018-03-05,FEBIN,22.7,,,,,,,,,,,,,,,
2018-04-26,FEBIN,27.2,,,,,,,,,,,,,,,
2018-06-26,FEBIN,1.33,,,,,,,,,,,,,,,
2018-11-05,FEBIN,20.1,,,,,,,,,,,,,,,
2019-10-07,FEBIN,28.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-07,FEBIN,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-07,FEBIN,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-17,FEBIN,34.2,,,,,,,,,,,,,,,
2020-01-06,FEBIN,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,FEBIN,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,FEBIN,16.1,,,,,,,,,,,,,,,
2020-04-06,FEBIN,61.9,,,,,,,,,,,,,,,
2020-05-04,FEBIN,83.7,,,,,,,,,,,,,,,
2020-06-01,FEBIN,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-03,MBOXSOU,26.05,,,,,,,,,,,,,,,
2011-11-15,MBOXSOU,18.6,,,,,,,,,,,,,,,
2011-12-27,MBOXSOU,10.9,,,,,,,,,,,,,,,
2012-01-03,MBOXSOU,13.4,,,,,,,,,,,,,,,
2012-09-04,MBOXSOU,18.1,,,,,,,,,,,,,,,
2012-10-01,MBOXSOU,30.9,,,,,,,,,,,,,,,
2012-10-31,MBOXSOU,10.8,,,,,,,,,,,,,,,
2012-12-03,MBOXSOU,29.7,,,,,,,,,,,,,,,
2013-01-14,MBOXSOU,7.13,,,,,,,,,,,,,,,
2013-02-27,MBOXSOU,20.1,,,,,,,,,,,,,,,
2013-03-20,MBOXSOU,48.7,,,,,,,,,,,,,,,
2013-07-01,MBOXSOU,6.72,,,,,,,,,,,,,,,
2013-08-05,MBOXSOU,30.2,,,,,,,,,,,,,,,
2013-09-03,MBOXSOU,11.0,,,,,,,,,,,,,,,
2013-10-07,MBOXSOU,7.28,,,,,,,,,,,,,,,
2013-11-05,MBOXSOU,11.7,,,,,,,,,,,,,,,
2013-12-02,MBOXSOU,5.04,,,,,,,,,,,,,,,
2014-02-03,MBOXSOU,9.5,,,,,,,,,,,,,,,
2014-03-03,MBOXSOU,26.2,,,,,,,,,,,,,,,
2014-08-04,MBOXSOU,17.2,,,,,,,,,,,,,,,
2014-09-02,MBOXSOU,7.87,,,,,,,,,,,,,,,
2014-10-06,MBOXSOU,10.2,,,,,,,,,,,,,,,
2014-11-17,MBOXSOU,37.3,,,,,,,,,,,,,,,
2014-12-01,MBOXSOU,4.32,,,,,,,,,,,,,,,
2015-01-15,MBOXSOU,6.01,,,,,,,,,,,,,,,
2015-10-05,MBOXSOU,11.1,,,,,,,,,,,,,,,
2015-12-07,MBOXSOU,14.3,,,,,,,,,,,,,,,
2016-01-04,MBOXSOU,4.47,,,,,,,,,,,,,,,
2016-02-01,MBOXSOU,1.16,,,,,,,,,,,,,,,
2016-03-07,MBOXSOU,3.47,,,,,,,,,,,,,,,
2016-04-04,MBOXSOU,7.02,,,,,,,,,,,,,,,
2016-05-02,MBOXSOU,2.68,,,,,,,,,,,,,,,
2016-06-06,MBOXSOU,4.27,,,,,,,,,,,,,,,
2016-07-05,MBOXSOU,35.2,,,,,,,,,,,,,,,
2016-08-01,MBOXSOU,5.21,,,,,,,,,,,,,,,
2016-09-07,MBOXSOU,2.38,,,,,,,,,,,,,,,
2016-10-03,MBOXSOU,4.24,,,,,,,,,,,,,,,
2016-11-21,MBOXSOU,1.53,,,,,,,,,,,,,,,
2016-12-05,MBOXSOU,1.49,,,,,,,,,,,,,,,
2017-01-03,MBOXSOU,9.82,,,,,,,,,,,,,,,
2017-09-18,MBOXSOU,10.2,,,,,,,,,,,,,,,
2017-10-02,MBOXSOU,14.0,,,,,,,,,,,,,,,
2017-11-06,MBOXSOU,12.5,,,,,,,,,,,,,,,
2017-12-18,MBOXSOU,3.8,,,,,,,,,,,,,,,
2011-11-15,MH24000,4.97,,,,,,,,,,,,,,,
2011-12-27,MH24000,3.92,,,,,,,,,,,,,,,
2012-01-03,MH24000,5.54,,,,,,,,,,,,,,,
2012-09-04,MH24000,17.3,,,,,,,,,,,,,,,
2012-10-01,MH24000,9.37,,,,,,,,,,,,,,,
2012-10-31,MH24000,1.32,,,,,,,,,,,,,,,
2012-12-03,MH24000,6.81,,,,,,,,,,,,,,,
2013-01-14,MH24000,6.43,,,,,,,,,,,,,,,
2013-02-27,MH24000,5.05,,,,,,,,,,,,,,,
2013-04-01,MH24000,1.61,,,,,,,,,,,,,,,
2013-06-03,MH24000,6.26,,,,,,,,,,,,,,,
2013-08-05,MH24000,5.34,,,,,,,,,,,,,,,
2013-10-07,MH24000,52.0,,,,,,,,,,,,,,,
2013-11-05,MH24000,1.49,,,,,,,,,,,,,,,
2013-12-02,MH24000,2.03,,,,,,,,,,,,,,,
2014-02-03,MH24000,1.14,,,,,,,,,,,,,,,
2014-03-03,MH24000,8.89,,,,,,,,,,,,,,,
2014-09-02,MH24000,4.32,,,,,,,,,,,,,,,
2014-10-06,MH24000,31.7,,,,,,,,,,,,,,,
2014-11-17,MH24000,2.75,,,,,,,,,,,,,,,
2014-12-01,MH24000,2.15,,,,,,,,,,,,,,,
2015-03-02,MH24000,3.8,,,,,,,,,,,,,,,
2015-04-06,MH24000,3.84,,,,,,,,,,,,,,,
2015-10-05,MH24000,3.21,,,,,,,,,,,,,,,
2015-12-07,MH24000,3.79,,,,,,,,,,,,,,,
2016-02-01,MH24000,1.48,,,,,,,,,,,,,,,
2016-03-07,MH24000,1.72,,,,,,,,,,,,,,,
2016-04-04,MH24000,4.57,,,,,,,,,,,,,,,
2016-05-02,MH24000,3.26,,,,,,,,,,,,,,,
2016-06-06,MH24000,4.33,,,,,,,,,,,,,,,
2016-07-05,MH24000,4.45,,,,,,,,,,,,,,,
2016-09-07,MH24000,4.42,,,,,,,,,,,,,,,
2016-10-03,MH24000,3.05,,,,,,,,,,,,,,,
2016-12-05,MH24000,0.9690000000000001,,,,,,,,,,,,,,,
2017-09-18,MH24000,2.32,,,,,,,,,,,,,,,
2017-10-02,MH24000,5.35,,,,,,,,,,,,,,,
2017-11-06,MH24000,2.63,,,,,,,,,,,,,,,
2017-12-18,MH24000,16.0,,,,,,,,,,,,,,,
2010-11-03,FEBOUT,15.5,,,,,,,,,,,,,,,
2011-11-15,FEBOUT,8.68,,,,,,,,,,,,,,,
2011-12-27,FEBOUT,6.91,,,,,,,,,,,,,,,
2012-01-03,FEBOUT,5.53,,,,,,,,,,,,,,,
2012-02-06,FEBOUT,2.87,,,,,,,,,,,,,,,
2012-09-04,FEBOUT,13.0,,,,,,,,,,,,,,,
2012-10-01,FEBOUT,11.0,,,,,,,,,,,,,,,
2012-10-31,FEBOUT,8.05,,,,,,,,,,,,,,,
2012-12-03,FEBOUT,4.62,,,,,,,,,,,,,,,
2013-01-14,FEBOUT,13.9,,,,,,,,,,,,,,,
2013-02-27,FEBOUT,15.7,,,,,,,,,,,,,,,
2013-03-20,FEBOUT,9.37,,,,,,,,,,,,,,,
2013-04-01,FEBOUT,26.2,,,,,,,,,,,,,,,
2013-05-06,FEBOUT,28.2,,,,,,,,,,,,,,,
2013-06-03,FEBOUT,5.14,,,,,,,,,,,,,,,
2013-07-01,FEBOUT,5.91,,,,,,,,,,,,,,,
2013-08-05,FEBOUT,22.8,,,,,,,,,,,,,,,
2013-09-03,FEBOUT,41.1,,,,,,,,,,,,,,,
2013-10-07,FEBOUT,24.9,,,,,,,,,,,,,,,
2013-11-05,FEBOUT,21.2,,,,,,,,,,,,,,,
2013-12-02,FEBOUT,6.12,,,,,,,,,,,,,,,
2014-01-06,FEBOUT,9.47,,,,,,,,,,,,,,,
2014-02-03,FEBOUT,18.2,,,,,,,,,,,,,,,
2014-03-03,FEBOUT,10.0,,,,,,,,,,,,,,,
2014-04-07,FEBOUT,8.2,,,,,,,,,,,,,,,
2014-05-05,FEBOUT,9.03,,,,,,,,,,,,,,,
2014-07-21,FEBOUT,33.0,,,,,,,,,,,,,,,
2014-08-04,FEBOUT,19.2,,,,,,,,,,,,,,,
2014-09-02,FEBOUT,16.2,,,,,,,,,,,,,,,
2014-10-06,FEBOUT,3.72,,,,,,,,,,,,,,,
2014-11-17,FEBOUT,6.67,,,,,,,,,,,,,,,
2014-12-01,FEBOUT,23.0,,,,,,,,,,,,,,,
2015-01-15,FEBOUT,13.5,,,,,,,,,,,,,,,
2015-02-02,FEBOUT,8.87,,,,,,,,,,,,,,,
2015-02-02,FEBOUT,7.7,,,,,,,,,,,,,,,
2015-02-02,FEBOUT,8.01,,,,,,,,,,,,,,,
2015-03-02,FEBOUT,18.1,,,,,,,,,,,,,,,
2015-04-06,FEBOUT,16.2,,,,,,,,,,,,,,,
2015-05-18,FEBOUT,22.3,,,,,,,,,,,,,,,
2015-09-08,FEBOUT,11.4,,,,,,,,,,,,,,,
2015-10-05,FEBOUT,1.82,,,,,,,,,,,,,,,
2015-11-16,FEBOUT,8.17,,,,,,,,,,,,,,,
2015-12-07,FEBOUT,13.2,,,,,,,,,,,,,,,
2016-01-04,FEBOUT,25.6,,,,,,,,,,,,,,,
2016-02-01,FEBOUT,9.33,,,,,,,,,,,,,,,
2016-03-07,FEBOUT,9.7,,,,,,,,,,,,,,,
2016-04-04,FEBOUT,27.6,,,,,,,,,,,,,,,
2016-05-02,FEBOUT,45.6,,,,,,,,,,,,,,,
2016-06-06,FEBOUT,9.62,,,,,,,,,,,,,,,
2016-07-05,FEBOUT,87.2,,,,,,,,,,,,,,,
2016-08-01,FEBOUT,54.9,,,,,,,,,,,,,,,
2016-09-07,FEBOUT,30.6,,,,,,,,,,,,,,,
2016-10-03,FEBOUT,22.7,,,,,,,,,,,,,,,
2016-10-03,FEBOUT,23.6,,,,,,,,,,,,,,,
2016-10-03,FEBOUT,24.1,,,,,,,,,,,,,,,
2016-11-21,FEBOUT,10.2,,,,,,,,,,,,,,,
2016-12-05,FEBOUT,3.19,,,,,,,,,,,,,,,
2017-08-07,FEBOUT,59.4,,,,,,,,,,,,,,,
2017-09-18,FEBOUT,17.3,,,,,,,,,,,,,,,
2017-11-06,FEBOUT,15.7,,,,,,,,,,,,,,,
2017-12-18,FEBOUT,11.3,,,,,,,,,,,,,,,
2018-03-05,FEBOUT,16.4,,,,,,,,,,,,,,,
2018-04-26,FEBOUT,34.0,,,,,,,,,,,,,,,
2018-06-26,FEBOUT,51.9,,,,,,,,,,,,,,,
2018-08-06,FEBOUT,29.2,,,,,,,,,,,,,,,
2018-11-05,FEBOUT,33.5,,,,,,,,,,,,,,,
2019-12-17,FEBOUT,48.4,,,,,,,,,,,,,,,
2020-01-06,FEBOUT,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,FEBOUT,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,FEBOUT,23.6,,,,,,,,,,,,,,,
2020-04-06,FEBOUT,21.1,,,,,,,,,,,,,,,
2020-04-06,FEBOUT,28.2,,,,,,,,,,,,,,,
2020-04-06,FEBOUT,26.0,,,,,,,,,,,,,,,
2020-05-04,FEBOUT,26.8,,,,,,,,,,,,,,,
2020-06-01,FEBOUT,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-21,L005,11.15,,,,,,,,,,,,,,,
2010-11-02,L005,40.1,,,,,,,,,,,,,,,
2010-12-20,L005,11.6,,,,,,,,,,,,,,,
2011-01-03,L005,7.3,,,,,,,,,,,,,,,
2011-02-14,L005,22.4,,,,,,,,,,,,,,,
2011-03-09,L005,26.5,,,,,,,,,,,,,,,
2011-04-19,L005,10.85,,,,,,,,,,,,,,,
2011-05-24,L005,2.58,,,,,,,,,,,,,,,
2011-06-07,L005,21.2,,,,,,,,,,,,,,,
2011-07-12,L005,2.61,,,,,,,,,,,,,,,
2011-08-02,L005,2.86,,,,,,,,,,,,,,,
2011-09-19,L005,23.1,,,,,,,,,,,,,,,
2011-10-10,L005,19.9,,,,,,,,,,,,,,,
2011-11-15,L005,14.9,,,,,,,,,,,,,,,
2011-12-05,L005,16.9,,,,,,,,,,,,,,,
2012-01-23,L005,7.13,,,,,,,,,,,,,,,
2012-02-07,L005,12.9,,,,,,,,,,,,,,,
2012-03-19,L005,23.1,,,,,,,,,,,,,,,
2012-04-02,L005,18.4,,,,,,,,,,,,,,,
2012-05-21,L005,21.0,,,,,,,,,,,,,,,
2012-06-11,L005,35.5,,,,,,,,,,,,,,,
2012-07-16,L005,7.58,,,,,,,,,,,,,,,
2012-08-13,L005,3.75,,,,,,,,,,,,,,,
2012-09-18,L005,29.6,,,,,,,,,,,,,,,
2012-10-09,L005,35.5,,,,,,,,,,,,,,,
2012-11-27,L005,18.8,,,,,,,,,,,,,,,
2012-12-11,L005,9.69,,,,,,,,,,,,,,,
2013-01-08,L005,8.4,,,,,,,,,,,,,,,
2013-02-11,L005,18.2,,,,,,,,,,,,,,,
2013-03-27,L005,15.0,,,,,,,,,,,,,,,
2013-04-08,L005,21.0,,,,,,,,,,,,,,,
2013-05-14,L005,35.0,,,,,,,,,,,,,,,
2013-06-03,L005,142.0,,,,,,,,,,,,,,,
2013-07-17,L005,38.4,,,,,,,,,,,,,,,
2013-08-06,L005,70.8,,,,,,,,,,,,,,,
2013-09-17,L005,44.3,,,,,,,,,,,,,,,
2013-10-01,L005,48.6,,,,,,,,,,,,,,,
2013-11-12,L005,56.5,,,,,,,,,,,,,,,
2013-12-04,L005,16.2,,,,,,,,,,,,,,,
2014-01-14,L005,29.8,,,,,,,,,,,,,,,
2014-02-05,L005,42.7,,,,,,,,,,,,,,,
2014-03-11,L005,16.0,,,,,,,,,,,,,,,
2014-04-15,L005,45.3,,,,,,,,,,,,,,,
2014-05-14,L005,113.0,,,,,,,,,,,,,,,
2014-06-04,L005,112.0,,,,,,,,,,,,,,,
2014-07-15,L005,34.4,,,,,,,,,,,,,,,
2014-08-06,L005,29.8,,,,,,,,,,,,,,,
2014-09-02,L005,71.2,,,,,,,,,,,,,,,
2014-10-07,L005,54.4,,,,,,,,,,,,,,,
2014-11-04,L005,46.0,,,,,,,,,,,,,,,
2014-12-02,L005,40.7,,,,,,,,,,,,,,,
2015-01-06,L005,11.9,,,,,,,,,,,,,,,
2015-02-03,L005,11.6,,,,,,,,,,,,,,,
2015-03-03,L005,29.1,,,,,,,,,,,,,,,
2015-04-07,L005,18.1,,,,,,,,,,,,,,,
2015-05-12,L005,16.9,,,,,,,,,,,,,,,
2015-06-03,L005,43.7,,,,,,,,,,,,,,,
2015-07-08,L005,21.7,,,,,,,,,,,,,,,
2015-08-04,L005,20.6,,,,,,,,,,,,,,,
2015-09-01,L005,40.4,,,,,,,,,,,,,,,
2015-10-06,L005,5.29,,,,,,,,,,,,,,,
2015-11-04,L005,47.1,,,,,,,,,,,,,,,
2015-12-01,L005,33.6,,,,,,,,,,,,,,,
2016-01-11,L005,53.4,,,,,,,,,,,,,,,
2016-02-02,L005,44.7,,,,,,,,,,,,,,,
2016-03-01,L005,24.9,,,,,,,,,,,,,,,
2016-04-05,L005,14.6,,,,,,,,,,,,,,,
2016-05-03,L005,7.94,,,,,,,,,,,,,,,
2016-06-14,L005,39.2,,,,,,,,,,,,,,,
2016-07-11,L005,62.3,,,,,,,,,,,,,,,
2016-08-02,L005,55.9,,,,,,,,,,,,,,,
2016-09-06,L005,55.4,,,,,,,,,,,,,,,
2016-10-18,L005,26.3,,,,,,,,,,,,,,,
2016-11-01,L005,29.5,,,,,,,,,,,,,,,
2016-12-07,L005,18.8,,,,,,,,,,,,,,,
2017-01-09,L005,21.8,,,,,,,,,,,,,,,
2017-02-07,L005,17.4,,,,,,,,,,,,,,,
2017-03-22,L005,15.6,,,,,,,,,,,,,,,
2017-04-17,L005,43.7,,,,,,,,,,,,,,,
2017-05-23,L005,31.5,,,,,,,,,,,,,,,
2017-06-20,L005,55.0,,,,,,,,,,,,,,,
2017-07-10,L005,54.5,,,,,,,,,,,,,,,
2017-08-14,L005,29.3,,,,,,,,,,,,,,,
2017-09-18,L005,35.0,,,,,,,,,,,,,,,
2017-10-10,L005,20.3,,,,,,,,,,,,,,,
2017-11-07,L005,24.2,,,,,,,,,,,,,,,
2017-12-05,L005,8.81,,,,,,,,,,,,,,,
